c_fraction,counter,defense,system_tipped,final_defection_rate,steps_to_equilibrium
0.3,atomization,alternative_interdependence,True,0.9815384615384616,35
0.3,atomization,alternative_interdependence,True,0.9821538461538462,38
0.3,atomization,alternative_interdependence,True,0.9901538461538462,35
0.3,atomization,alternative_interdependence,True,0.9815384615384616,34
0.3,atomization,alternative_interdependence,True,0.9889230769230769,34
0.3,atomization,alternative_interdependence,True,0.9852307692307692,33
0.3,atomization,alternative_interdependence,True,0.9784615384615385,36
0.3,atomization,alternative_interdependence,True,0.9846153846153847,36
0.3,atomization,alternative_interdependence,True,0.9846153846153847,37
0.3,atomization,alternative_interdependence,True,0.9846153846153847,35
0.3,atomization,alternative_interdependence,True,0.9778461538461538,35
0.3,atomization,alternative_interdependence,True,0.9815384615384616,33
0.3,atomization,alternative_interdependence,True,0.9864615384615385,34
0.3,atomization,alternative_interdependence,True,0.9815384615384616,37
0.3,atomization,alternative_interdependence,True,0.9815384615384616,34
0.3,atomization,alternative_interdependence,True,0.984,35
0.3,atomization,alternative_interdependence,True,0.9876923076923076,34
0.3,atomization,alternative_interdependence,True,0.9846153846153847,35
0.3,atomization,alternative_interdependence,True,0.9790769230769231,40
0.3,atomization,alternative_interdependence,True,0.9846153846153847,36
0.3,atomization,alternative_interdependence,True,0.9809230769230769,35
0.3,atomization,alternative_interdependence,True,0.9686153846153847,32
0.3,atomization,alternative_interdependence,True,0.9858461538461538,36
0.3,atomization,alternative_interdependence,True,0.992,33
0.3,atomization,alternative_interdependence,True,0.9833846153846154,40
0.3,atomization,alternative_interdependence,True,0.9803076923076923,33
0.3,atomization,alternative_interdependence,True,0.9852307692307692,37
0.3,atomization,alternative_interdependence,True,0.9852307692307692,37
0.3,atomization,alternative_interdependence,True,0.9698461538461538,34
0.3,atomization,alternative_interdependence,True,0.9723076923076923,36
0.3,atomization,alternative_interdependence,True,0.9778461538461538,37
0.3,atomization,alternative_interdependence,True,0.976,36
0.3,atomization,alternative_interdependence,True,0.984,33
0.3,atomization,alternative_interdependence,True,0.992,39
0.3,atomization,alternative_interdependence,True,0.9766153846153847,33
0.3,atomization,alternative_interdependence,True,0.9809230769230769,35
0.3,atomization,alternative_interdependence,True,0.9827692307692307,34
0.3,atomization,alternative_interdependence,True,0.9809230769230769,34
0.3,atomization,alternative_interdependence,True,0.9784615384615385,33
0.3,atomization,alternative_interdependence,True,0.9876923076923076,35
0.3,atomization,alternative_interdependence,True,0.9790769230769231,35
0.3,atomization,alternative_interdependence,True,0.9858461538461538,34
0.3,atomization,alternative_interdependence,True,0.9846153846153847,35
0.3,atomization,alternative_interdependence,True,0.9766153846153847,34
0.3,atomization,alternative_interdependence,True,0.9809230769230769,33
0.3,atomization,alternative_interdependence,True,0.9870769230769231,36
0.3,atomization,alternative_interdependence,True,0.9821538461538462,38
0.3,atomization,alternative_interdependence,True,0.984,37
0.3,atomization,alternative_interdependence,True,0.9833846153846154,34
0.3,cooptation,none,True,0.8233846153846154,34
0.3,atomization,alternative_interdependence,True,0.9858461538461538,35
0.3,cooptation,none,True,0.7858461538461539,32
0.3,cooptation,none,True,0.8953846153846153,42
0.3,cooptation,none,True,0.8307692307692308,37
0.3,cooptation,none,True,0.8541538461538462,43
0.3,cooptation,none,True,0.8689230769230769,54
0.3,cooptation,none,True,0.8338461538461538,34
0.3,cooptation,none,True,0.8301538461538461,42
0.3,cooptation,none,True,0.8147692307692308,36
0.3,cooptation,none,True,0.8412307692307692,37
0.3,cooptation,none,True,0.8153846153846154,40
0.3,cooptation,none,True,0.816,40
0.3,cooptation,none,True,0.8486153846153847,43
0.3,cooptation,none,True,0.8590769230769231,39
0.3,cooptation,none,True,0.8356923076923077,35
0.3,cooptation,none,True,0.8996923076923077,47
0.3,cooptation,none,True,0.8363076923076923,35
0.3,cooptation,none,True,0.8824615384615384,43
0.3,cooptation,none,True,0.8172307692307692,38
0.3,cooptation,none,True,0.8246153846153846,38
0.3,cooptation,none,True,0.8369230769230769,38
0.3,cooptation,none,True,0.8467692307692307,36
0.3,cooptation,none,True,0.8473846153846154,39
0.3,atomization,alternative_interdependence,True,0.9766153846153847,36
0.3,cooptation,none,True,0.916923076923077,41
0.3,cooptation,none,True,0.8301538461538461,36
0.3,cooptation,none,True,0.8184615384615385,35
0.3,cooptation,none,True,0.8553846153846154,37
0.3,cooptation,none,True,0.8510769230769231,40
0.3,cooptation,none,True,0.8455384615384616,50
0.3,cooptation,none,True,0.8387692307692308,39
0.3,cooptation,none,True,0.8873846153846154,42
0.3,cooptation,none,True,0.8763076923076923,42
0.3,cooptation,none,True,0.9021538461538462,41
0.3,cooptation,none,True,0.8590769230769231,38
0.3,cooptation,none,True,0.8227692307692308,37
0.3,cooptation,none,True,0.835076923076923,39
0.3,cooptation,none,True,0.8486153846153847,38
0.3,cooptation,none,True,0.8467692307692307,35
0.3,cooptation,none,True,0.8221538461538461,37
0.3,cooptation,none,True,0.8264615384615385,40
0.3,cooptation,none,True,0.827076923076923,39
0.3,cooptation,none,True,0.9230769230769231,48
0.3,cooptation,none,True,0.8166153846153846,36
0.3,cooptation,none,True,0.8855384615384615,47
0.3,cooptation,none,True,0.8203076923076923,36
0.3,cooptation,none,True,0.8196923076923077,35
0.3,cooptation,none,True,0.8830769230769231,38
0.3,cooptation,none,True,0.8566153846153847,44
0.3,cooptation,none,True,0.8246153846153846,37
0.3,cooptation,none,True,0.8695384615384616,39
0.3,cooptation,none,True,0.8018461538461539,36
0.3,cooptation,none,True,0.8196923076923077,38
0.3,cooptation,none,True,0.835076923076923,37
0.3,cooptation,none,True,0.835076923076923,36
0.3,cooptation,none,True,0.835076923076923,39
0.3,cooptation,none,True,0.8178461538461539,38
0.3,cooptation,none,True,0.8492307692307692,37
0.3,cooptation,none,True,0.8412307692307692,45
0.3,cooptation,none,True,0.8529230769230769,38
0.3,cooptation,none,True,0.9187692307692308,49
0.3,cooptation,none,True,0.8596923076923076,43
0.3,cooptation,none,True,0.8621538461538462,41
0.3,cooptation,none,True,0.8904615384615384,44
0.3,cooptation,none,True,0.8541538461538462,42
0.3,cooptation,none,True,0.8695384615384616,39
0.3,cooptation,none,True,0.8547692307692307,39
0.3,cooptation,none,True,0.8196923076923077,36
0.3,cooptation,none,True,0.8184615384615385,35
0.3,cooptation,none,True,0.8307692307692308,39
0.3,cooptation,none,True,0.8843076923076924,41
0.3,cooptation,none,True,0.9113846153846153,43
0.3,cooptation,none,True,0.8695384615384616,43
0.3,cooptation,none,True,0.8473846153846154,38
0.3,cooptation,none,True,0.8455384615384616,41
0.3,cooptation,none,True,0.8443076923076923,40
0.3,cooptation,none,True,0.8504615384615385,38
0.3,cooptation,none,True,0.8332307692307692,35
0.3,cooptation,none,True,0.7612307692307693,42
0.3,cooptation,none,True,0.8147692307692308,40
0.3,cooptation,none,True,0.9353846153846154,54
0.3,cooptation,none,True,0.776,43
0.3,cooptation,none,True,0.835076923076923,38
0.3,cooptation,none,True,0.8547692307692307,40
0.3,cooptation,none,True,0.8116923076923077,35
0.3,cooptation,none,True,0.8664615384615385,37
0.3,cooptation,none,True,0.824,36
0.3,cooptation,none,True,0.8363076923076923,39
0.3,cooptation,none,True,0.8996923076923077,49
0.3,cooptation,none,True,0.8307692307692308,39
0.3,cooptation,none,True,0.8104615384615385,36
0.3,cooptation,none,True,0.8455384615384616,40
0.3,cooptation,none,True,0.8123076923076923,36
0.3,cooptation,none,True,0.8738461538461538,44
0.3,cooptation,none,True,0.808,36
0.3,cooptation,none,True,0.8295384615384616,38
0.3,cooptation,none,True,0.8313846153846154,38
0.3,cooptation,distributed_leadership,True,0.8436923076923077,39
0.3,cooptation,distributed_leadership,True,0.7950769230769231,34
0.3,cooptation,none,True,0.8153846153846154,35
0.3,cooptation,distributed_leadership,True,0.8436923076923077,41
0.3,cooptation,none,True,0.8449230769230769,40
0.3,cooptation,distributed_leadership,True,0.8338461538461538,35
0.3,cooptation,distributed_leadership,True,0.8590769230769231,46
0.3,cooptation,distributed_leadership,True,0.8363076923076923,39
0.3,cooptation,distributed_leadership,True,0.8947692307692308,42
0.3,cooptation,distributed_leadership,True,0.8449230769230769,39
0.3,cooptation,distributed_leadership,True,0.7864615384615384,34
0.3,cooptation,distributed_leadership,True,0.8424615384615385,36
0.3,cooptation,distributed_leadership,True,0.8676923076923077,40
0.3,cooptation,distributed_leadership,True,0.8609230769230769,39
0.3,cooptation,distributed_leadership,True,0.9070769230769231,40
0.3,cooptation,none,True,0.8098461538461539,36
0.3,cooptation,distributed_leadership,True,0.8135384615384615,40
0.3,cooptation,distributed_leadership,True,0.8166153846153846,36
0.3,cooptation,distributed_leadership,True,0.8387692307692308,38
0.3,cooptation,distributed_leadership,True,0.8707692307692307,48
0.3,cooptation,distributed_leadership,True,0.8258461538461539,36
0.3,cooptation,distributed_leadership,True,0.84,36
0.3,cooptation,distributed_leadership,True,0.8683076923076923,46
0.3,cooptation,distributed_leadership,True,0.8621538461538462,44
0.3,cooptation,distributed_leadership,True,0.8203076923076923,37
0.3,cooptation,distributed_leadership,True,0.848,39
0.3,cooptation,distributed_leadership,True,0.8461538461538461,38
0.3,cooptation,distributed_leadership,True,0.8732307692307693,43
0.3,cooptation,distributed_leadership,True,0.8147692307692308,37
0.3,cooptation,distributed_leadership,True,0.856,42
0.3,cooptation,distributed_leadership,True,0.8443076923076923,41
0.3,cooptation,distributed_leadership,True,0.8461538461538461,40
0.3,cooptation,distributed_leadership,True,0.856,39
0.3,cooptation,distributed_leadership,True,0.8123076923076923,35
0.3,cooptation,distributed_leadership,True,0.8516923076923076,37
0.3,cooptation,distributed_leadership,True,0.9144615384615384,48
0.3,cooptation,distributed_leadership,True,0.7716923076923077,38
0.3,cooptation,distributed_leadership,True,0.7630769230769231,39
0.3,cooptation,distributed_leadership,True,0.9015384615384615,45
0.3,cooptation,distributed_leadership,True,0.8935384615384615,51
0.3,cooptation,distributed_leadership,True,0.803076923076923,36
0.3,cooptation,distributed_leadership,True,0.8498461538461538,44
0.3,cooptation,distributed_leadership,True,0.8233846153846154,36
0.3,cooptation,distributed_leadership,True,0.7649230769230769,40
0.3,cooptation,distributed_leadership,True,0.832,42
0.3,cooptation,distributed_leadership,True,0.9101538461538462,44
0.3,cooptation,distributed_leadership,True,0.8061538461538461,34
0.3,cooptation,distributed_leadership,True,0.8775384615384615,40
0.3,cooptation,distributed_leadership,True,0.8498461538461538,39
0.3,cooptation,distributed_leadership,True,0.8252307692307692,38
0.3,cooptation,distributed_leadership,True,0.8412307692307692,49
0.3,cooptation,distributed_leadership,True,0.8276923076923077,39
0.3,cooptation,distributed_leadership,True,0.8676923076923077,37
0.3,cooptation,distributed_leadership,True,0.8436923076923077,38
0.3,cooptation,distributed_leadership,True,0.8233846153846154,39
0.3,cooptation,none,True,0.8123076923076923,38
0.3,cooptation,distributed_leadership,True,0.8092307692307692,36
0.3,cooptation,distributed_leadership,True,0.8744615384615385,39
0.3,cooptation,distributed_leadership,True,0.8529230769230769,44
0.3,cooptation,distributed_leadership,True,0.8215384615384616,38
0.3,cooptation,distributed_leadership,True,0.8184615384615385,34
0.3,cooptation,distributed_leadership,True,0.7772307692307693,40
0.3,cooptation,distributed_leadership,True,0.8676923076923077,48
0.3,cooptation,distributed_leadership,True,0.8369230769230769,37
0.3,cooptation,distributed_leadership,True,0.9052307692307693,38
0.3,cooptation,distributed_leadership,True,0.84,35
0.3,cooptation,distributed_leadership,True,0.8603076923076923,48
0.3,cooptation,distributed_leadership,True,0.8196923076923077,35
0.3,cooptation,distributed_leadership,True,0.8873846153846154,42
0.3,cooptation,distributed_leadership,True,0.8818461538461538,38
0.3,cooptation,distributed_leadership,True,0.8498461538461538,37
0.3,cooptation,distributed_leadership,True,0.864,42
0.3,cooptation,distributed_leadership,True,0.848,49
0.3,cooptation,distributed_leadership,True,0.8252307692307692,34
0.3,cooptation,distributed_leadership,True,0.8855384615384615,43
0.3,cooptation,distributed_leadership,True,0.8498461538461538,36
0.3,cooptation,distributed_leadership,True,0.8289230769230769,39
0.3,cooptation,distributed_leadership,True,0.8375384615384616,44
0.3,cooptation,distributed_leadership,True,0.819076923076923,35
0.3,cooptation,distributed_leadership,True,0.8861538461538462,46
0.3,cooptation,distributed_leadership,True,0.8953846153846153,46
0.3,cooptation,distributed_leadership,True,0.8621538461538462,39
0.3,cooptation,distributed_leadership,True,0.8523076923076923,37
0.3,cooptation,distributed_leadership,True,0.8276923076923077,36
0.3,cooptation,distributed_leadership,True,0.819076923076923,37
0.3,cooptation,distributed_leadership,True,0.8467692307692307,43
0.3,cooptation,distributed_leadership,True,0.8695384615384616,41
0.3,cooptation,distributed_leadership,True,0.8769230769230769,56
0.3,cooptation,distributed_leadership,True,0.8664615384615385,45
0.3,cooptation,distributed_leadership,True,0.8424615384615385,40
0.3,cooptation,distributed_leadership,True,0.8221538461538461,38
0.3,cooptation,distributed_leadership,True,0.8147692307692308,39
0.3,cooptation,distributed_leadership,True,0.824,41
0.3,cooptation,distributed_leadership,True,0.8363076923076923,39
0.3,cooptation,distributed_leadership,True,0.8424615384615385,39
0.3,cooptation,distributed_leadership,True,0.8510769230769231,39
0.3,cooptation,distributed_leadership,True,0.8430769230769231,46
0.3,cooptation,distributed_leadership,True,0.8289230769230769,40
0.3,cooptation,distributed_leadership,True,0.8166153846153846,35
0.3,cooptation,distributed_leadership,True,0.8295384615384616,42
0.3,cooptation,redundant_channels,True,0.8504615384615385,44
0.3,cooptation,redundant_channels,True,0.8246153846153846,38
0.3,cooptation,redundant_channels,True,0.8904615384615384,43
0.3,cooptation,redundant_channels,True,0.8406153846153847,41
0.3,cooptation,distributed_leadership,True,0.835076923076923,41
0.3,cooptation,distributed_leadership,True,0.8387692307692308,41
0.3,cooptation,redundant_channels,True,0.8615384615384616,41
0.3,cooptation,redundant_channels,True,0.8332307692307692,43
0.3,cooptation,redundant_channels,True,0.9384615384615385,44
0.3,cooptation,redundant_channels,True,0.8455384615384616,38
0.3,cooptation,redundant_channels,True,0.8,37
0.3,cooptation,redundant_channels,True,0.8393846153846154,36
0.3,cooptation,redundant_channels,True,0.8203076923076923,44
0.3,cooptation,redundant_channels,True,0.8535384615384616,42
0.3,cooptation,redundant_channels,True,0.8689230769230769,42
0.3,cooptation,redundant_channels,True,0.7630769230769231,43
0.3,cooptation,redundant_channels,True,0.7396923076923076,43
0.3,cooptation,redundant_channels,True,0.8529230769230769,39
0.3,cooptation,redundant_channels,True,0.8578461538461538,39
0.3,cooptation,redundant_channels,True,0.812923076923077,40
0.3,cooptation,redundant_channels,True,0.835076923076923,46
0.3,cooptation,redundant_channels,True,0.8436923076923077,38
0.3,cooptation,redundant_channels,True,0.8375384615384616,42
0.3,cooptation,redundant_channels,True,0.8024615384615384,41
0.3,cooptation,redundant_channels,True,0.8356923076923077,45
0.3,cooptation,redundant_channels,True,0.7987692307692308,35
0.3,cooptation,redundant_channels,True,0.8523076923076923,46
0.3,cooptation,redundant_channels,True,0.8498461538461538,45
0.3,cooptation,redundant_channels,True,0.7932307692307692,38
0.3,cooptation,redundant_channels,True,0.7790769230769231,41
0.3,cooptation,redundant_channels,True,0.8510769230769231,41
