scenario,c_fraction,system_tipped,final_defection_rate,steps_to_equilibrium
no_coupling,0.048666666666666664,False,0.42748091603053434,36
no_coupling,0.048666666666666664,False,0.42748091603053434,34
no_coupling,0.048666666666666664,False,0.42748091603053434,41
no_coupling,0.048666666666666664,False,0.2381679389312977,39
no_coupling,0.048666666666666664,False,0.42748091603053434,39
no_coupling,0.048666666666666664,False,0.42748091603053434,41
no_coupling,0.048666666666666664,False,0.22061068702290076,41
no_coupling,0.048666666666666664,False,0.42748091603053434,36
no_coupling,0.048666666666666664,False,0.42748091603053434,42
no_coupling,0.048666666666666664,False,0.42748091603053434,44
no_coupling,0.048666666666666664,False,0.42748091603053434,38
no_coupling,0.048666666666666664,False,0.42748091603053434,41
no_coupling,0.048666666666666664,False,0.42748091603053434,44
no_coupling,0.048666666666666664,False,0.42748091603053434,41
no_coupling,0.048666666666666664,False,0.42748091603053434,40
no_coupling,0.048666666666666664,False,0.2099236641221374,32
no_coupling,0.048666666666666664,False,0.42748091603053434,44
no_coupling,0.048666666666666664,False,0.4297709923664122,33
no_coupling,0.048666666666666664,False,0.42748091603053434,43
no_coupling,0.048666666666666664,False,0.42748091603053434,37
no_coupling,0.048666666666666664,False,0.42748091603053434,38
no_coupling,0.048666666666666664,False,0.42748091603053434,35
no_coupling,0.048666666666666664,False,0.42748091603053434,39
no_coupling,0.048666666666666664,False,0.42748091603053434,43
no_coupling,0.048666666666666664,False,0.42748091603053434,38
no_coupling,0.048666666666666664,False,0.42748091603053434,45
no_coupling,0.048666666666666664,False,0.42748091603053434,40
no_coupling,0.048666666666666664,False,0.42748091603053434,41
no_coupling,0.048666666666666664,False,0.42748091603053434,40
no_coupling,0.048666666666666664,False,0.42748091603053434,40
no_coupling,0.048666666666666664,False,0.42748091603053434,49
no_coupling,0.048666666666666664,False,0.42748091603053434,35
no_coupling,0.048666666666666664,False,0.42748091603053434,43
no_coupling,0.048666666666666664,False,0.42748091603053434,47
no_coupling,0.048666666666666664,False,0.42748091603053434,44
no_coupling,0.048666666666666664,False,0.42748091603053434,35
no_coupling,0.048666666666666664,False,0.42748091603053434,40
no_coupling,0.048666666666666664,False,0.42748091603053434,39
no_coupling,0.05833333333333333,False,0.43267776096822996,39
no_coupling,0.05833333333333333,False,0.43267776096822996,42
no_coupling,0.048666666666666664,False,0.42748091603053434,37
no_coupling,0.048666666666666664,False,0.42748091603053434,40
no_coupling,0.05833333333333333,False,0.43343419062027233,37
no_coupling,0.048666666666666664,False,0.42748091603053434,36
no_coupling,0.048666666666666664,False,0.42748091603053434,36
no_coupling,0.05833333333333333,False,0.43267776096822996,40
no_coupling,0.048666666666666664,False,0.42748091603053434,41
no_coupling,0.05833333333333333,False,0.43267776096822996,38
no_coupling,0.05833333333333333,False,0.43267776096822996,39
no_coupling,0.05833333333333333,False,0.43645990922844174,38
no_coupling,0.05833333333333333,False,0.43267776096822996,39
no_coupling,0.05833333333333333,False,0.43267776096822996,43
no_coupling,0.05833333333333333,False,0.43267776096822996,39
no_coupling,0.05833333333333333,False,0.43267776096822996,43
no_coupling,0.05833333333333333,False,0.43343419062027233,37
no_coupling,0.05833333333333333,False,0.43267776096822996,39
no_coupling,0.05833333333333333,False,0.43267776096822996,39
no_coupling,0.05833333333333333,False,0.4341906202723147,35
no_coupling,0.05833333333333333,False,0.43343419062027233,39
no_coupling,0.05833333333333333,False,0.43267776096822996,46
no_coupling,0.05833333333333333,False,0.43267776096822996,43
no_coupling,0.05833333333333333,False,0.4341906202723147,39
no_coupling,0.05833333333333333,False,0.4341906202723147,37
no_coupling,0.05833333333333333,False,0.43267776096822996,39
no_coupling,0.05833333333333333,False,0.4470499243570348,42
no_coupling,0.05833333333333333,False,0.43645990922844174,35
no_coupling,0.05833333333333333,False,0.43267776096822996,44
no_coupling,0.05833333333333333,False,0.43267776096822996,43
no_coupling,0.05833333333333333,False,0.43267776096822996,39
